SPNAME,longitude,latitude,Year,Present
ebt,-109.432469999999995,47.056609999999999,"2002",1.00
ebt,-110.629270000000005,47.409500000000001,"2003",1.00
ebt,-115.240579999999994,48.026029999999999,"2003",1.00
ebt,-112.650180000000006,44.509500000000003,"2003",1.00
ebt,-115.099930000000001,48.156529999999997,"2003",1.00
ebt,-114.318110000000004,46.772950000000002,"2003",1.00
ebt,-115.326269999999994,48.516240000000003,"2003",1.00
ebt,-113.516369999999995,45.232360000000000,"2003",1.00
ebt,-113.538100000000000,45.213340000000002,"2003",1.00
ebt,-113.525599999999997,45.225090000000002,"2003",1.00
ebt,-113.550870000000003,45.212899999999998,"2003",1.00
ebt,-115.076759999999993,47.996339999999996,"2003",1.00
ebt,-115.244050000000001,48.219059999999999,"2003",1.00
ebt,-115.053989999999999,48.050040000000003,"2003",1.00
ebt,-114.269440000000003,46.769579999999998,"2003",1.00
ebt,-114.145700000000005,46.715269999999997,"2003",1.00
ebt,-114.112189999999998,46.740430000000003,"2003",1.00
ebt,-115.275540000000007,48.043509999999998,"2003",1.00
ebt,-112.675010000000000,48.117449999999998,"2003",1.00
ebt,-111.968639999999994,44.572749999999999,"2002",1.00
ebt,-110.116709999999998,46.164879999999997,"2003",1.00
ebt,-110.001499999999993,46.121519999999997,"2003",1.00
ebt,-110.074590000000001,46.142270000000003,"2003",1.00
ebt,-115.173230000000004,48.471980000000002,"2003",1.00
ebt,-113.517359999999996,45.233789999999999,"2003",1.00
ebt,-113.538510000000002,45.233359999999998,"2003",1.00
ebt,-111.968459999999993,44.575290000000003,"2002",1.00
ebt,-112.724400000000003,48.094670000000001,"2003",1.00
ebt,-113.828230000000005,47.746169999999999,"2003",1.00
ebt,-115.203800000000001,48.266069999999999,"2003",1.00
ebt,-113.571629999999999,45.214480000000002,"2003",1.00
ebt,-113.563980000000001,45.214149999999997,"2003",1.00
ebt,-112.758520000000004,48.074469999999998,"2003",1.00
ebt,-115.261660000000006,48.215179999999997,"2003",1.00
ebt,-114.958860000000001,48.032060000000001,"2003",1.00
ebt,-114.686199999999999,46.845640000000003,"2003",1.00
ebt,-114.295069999999996,46.739590000000000,"2003",1.00
ebt,-113.750829999999993,47.009819999999998,"2003",1.00
ebt,-113.741159999999994,47.009079999999997,"2003",1.00
ebt,-114.335830000000001,46.726080000000003,"2003",1.00
ebt,-114.335310000000007,46.727480000000000,"2003",1.00
ebt,-114.325280000000006,46.740250000000003,"2003",1.00
ebt,-114.329729999999998,46.745750000000001,"2003",1.00
ebt,-115.074879999999993,47.763840000000002,"2003",1.00
ebt,-114.386229999999998,46.729610000000001,"2003",1.00
ebt,-114.366140000000001,46.740510000000000,"2003",1.00
ebt,-113.512940000000000,46.828020000000002,"2003",1.00
ebt,-109.915180000000007,45.106619999999999,"2003",1.00
ebt,-109.917339999999996,45.104210000000002,"2003",1.00
ebt,-109.932289999999995,45.094839999999998,"2003",1.00
ebt,-109.939220000000006,45.092529999999996,"2003",1.00
ebt,-114.459559999999996,46.777780000000000,"2003",1.00
ebt,-114.516769999999994,46.777450000000002,"2003",1.00
ebt,-114.472740000000002,46.778860000000002,"2003",1.00
ebt,-114.441379999999995,46.774720000000002,"2003",1.00
ebt,-115.102119999999999,48.162300000000002,"2003",1.00
ebt,-115.564400000000006,48.564399999999999,"2003",1.00
ebt,-114.490510000000000,46.677959999999999,"2003",1.00
ebt,-114.536879999999996,46.705230000000000,"2003",1.00
ebt,-114.544100000000000,46.680180000000000,"2003",1.00
ebt,-114.535619999999994,46.703319999999998,"2003",1.00
ebt,-115.723140000000001,48.125290000000000,"2003",1.00
ebt,-110.621319999999997,46.799390000000002,"2003",1.00
ebt,-112.173929999999999,44.818519999999999,"2003",1.00
ebt,-114.417800000000000,46.675640000000001,"2003",1.00
ebt,-114.489789999999999,46.666110000000003,"2003",1.00
ebt,-114.476789999999994,46.683750000000003,"2003",1.00
ebt,-114.499679999999998,46.694159999999997,"2003",1.00
ebt,-115.781440000000003,48.166089999999997,"2003",1.00
ebt,-113.050250000000005,45.225870000000000,"2003",1.00
ebt,-113.033510000000007,45.276769999999999,"2003",1.00
ebt,-113.007599999999996,47.003200000000000,"2003",1.00
ebt,-114.398759999999996,46.836700000000000,"2003",1.00
ebt,-114.410399999999996,46.812750000000001,"2003",1.00
ebt,-113.007599999999996,47.003189999999996,"2003",1.00
ebt,-113.050759999999997,45.303669999999997,"2003",1.00
ebt,-112.211259999999996,44.569409999999998,"2002",1.00
ebt,-115.784419999999997,48.157950000000000,"2003",1.00
ebt,-113.032079999999993,45.281289999999998,"2003",1.00
ebt,-113.029439999999994,45.288699999999999,"2003",1.00
ebt,-113.031499999999994,45.296819999999997,"2003",1.00
ebt,-110.488929999999996,47.442340000000002,"2003",1.00
ebt,-112.205920000000006,44.547899999999998,"2002",1.00
ebt,-112.672510000000003,46.928159999999998,"2003",1.00
ebt,-112.670659999999998,46.925820000000002,"2003",1.00
ebt,-115.107579999999999,48.115699999999997,"2003",1.00
ebt,-113.000090000000000,45.224860000000000,"2003",1.00
